Deportes,Frutas,Paises,Ciudades,Colores,Animales,Verbos
Futbol,Manzana,Mexico,Washington,Rojo,Antilope,Hablar
Basquetbol,Durazno,Luxemburgo,Tokyo,Naranja,Avestruz,Beber
Voleibol,Pera,Alemania,Bogota,Ambar,Bufalo,Borrar
Tenis,Sandia,Botsuana,Dubai,Amarillo,Cebra,Besar
Natacion,Melon,Nigeria,Detroit,Lima,Chimpance,Acceder
Beisbol,Papaya,Sudafrica,Chicago,Verde,Cocodrilo,Descubrir
Cricket,Naranja,Japon,Medellin,Cian,Caiman,Esconder
Atletismo,Piña,Australia,Lima,Azul,Cucaracha,Estudiar
Ajedrez,Aguacate,Rusia,Cali,Violeta,Elefante,Calcular
Boxeo,Arandano,España,Toronto,Magenta,Cebra,Cantar
PingPong,Cereza,Liechstenstein,Sidney,Fucsia,Escorpion,
Golf,Limon,Peru,Edimburgo,Granate,Facoquero,Ofender
Badminton,Coco,Palestina,Shangai,Marron,Flamenco,Ganar
Ciclismo,Maracuya,Burundi,Munich,Oliva,Gacela,Perder
Esgrima,Lulo,Albania,Londres,Esmeralda,Gato,Prender
Hockey,Fresa,Angola,Paris,Purpura,Perro,Vivir
Esqui,Banano,Aruba,Madrid,Vino,Ganso,Repasar
Rugby,Kiwi,Nauru,Barcelona,Cobre,Grulla,Omitir
Balonmano,Frambuesa,China,Manchester,Canela,Mantis,Ignorar
Patinaje,Uva,Chile,Berlin,Dorado,Hiena,Suspender
Senderismo,Mandarina,Ghana,Amsterdam,Turquesa,Hipopotamo,Toser
Running,Pomelo,Colombia,Seul,Zafiro,Jirafa,Estornudar
Motocross,Chirimoya,Rumania,Praga,Amatista,Lemur,Recibir
Escalada,Albaricoque,Barbados,Milan,Coral,Leopardo,Repartir
Buceo,Higo,Islandia,Lisboa,Salmon,Mangosta,Traicionar
Judo,Ciruela,Noruega,Miami,Crema,Pato,Ayudar
Parapente,Melocoton,Brunei,Roma,Menta,Pelicano,Visitar
Paracaidismo,Almendra,Dominica,Moscu,Celeste,Piton,Ceducir
Remo,Avellana,Gabon,Estambul,Lavanda,Rana,Morir
Surf,Nuez,Bolivia,Pekin,Rosado,Rata,Reir
,Cacahuate,Gibraltar,Jerusalen,Negro,Tortuga,Defender
,Castaña,Kuwait,Valencia,Blanco,Suricato,Conseguir
,Pistacho,Kosovo,Calcuta,Gris,Rinoceronte,Contar
,,Marruecos,Brasilia,Beige,Perro,Negar
,,Vietnam,Vienna,Escarlata,Gato,Pensar
,,Togo,Bruselas,Carmin,Hamster,Nacer
,,Tonga,Boston,Rubi,Halcon,Soñar
,,Serbia,Tijuana,Jade,Condor,Sentir
,,Eslovenia,Juarez,Lila,Ballena,Determinar
,,Senegal,Acapulco,Caqui,Tiburon,Programar
,,Tanzania,Palmira,Sesamo,Oso,Coordinar
,,Ucrania,cuernavaca,Durazno,Anguila,Lanzar
,,Venezuela,,,Calamar,Documentar
,,Yemen,,,Sardina,Entrenar
,,,,,Pulpo,Restaurar
,,,,,Piraña,
,,,,,Foca,
,,,,,Delfin,
,,,,,Medusa,
,,,,,Trucha,
,,,,,Caracol,
,,,,,Pinguino,
,,,,,Orca,
,,,,,Camello,
,,,,,Lobo,
,,,,,Topo,
,,,,,Liebre,
,,,,,Pantera,
,,,,,Gallina,
,,,,,Tarantula,
,,,,,Cerdo,
,,,,,Gusano,
,,,,,Mapache,
,,,,,Oveja,
,,,,,Venado,
,,,,,Gorila,
,,,,,Tigre,
,,,,,Orangutan,
,,,,,Castor,
,,,,,Conejo,
,,,,,Armadillo,
,,,,,Hormiga,
,,,,,Toro,
,,,,,Leon,
,,,,,Burro,
